Utilisateur;Départ;Pages NB;Pages Couleur;A4 NB;A4 couleur;A4 R/V;A3 NB;A3 couleur;A3 R/V;Total de pages;Total de copies;Total d'impressions;Total de scan;Total de fax;Autre Format;% pages R/V;% pages couleur;% copie;% scan;% fax;% du total
pah-scha;personnels EN;4174;0;4174;0;263;0;0;0;4174;956;3218;0;0;0;6,30%;0,00%;22,90%;0,00%;0,00%;24,40%
hlee;personnels EN;839;0;839;0;27;0;0;0;839;318;521;48;0;0;3,22%;0,00%;37,90%;5,41%;0,00%;4,90%
gcheminade;personnels EN;727;79;727;65;391;0;14;0;806;0;806;0;0;0;48,51%;9,80%;0,00%;0,00%;0,00%;4,71%
thanin;personnels EN;750;0;750;0;383;0;0;0;750;0;750;0;0;0;51,07%;0,00%;0,00%;0,00%;0,00%;4,38%
sfoinkinos;personnels EN;687;0;672;0;351;15;0;14;687;0;687;0;0;0;53,13%;0,00%;0,00%;0,00%;0,00%;4,02%
psalmon;personnels EN;672;0;672;0;347;0;0;0;672;0;672;0;0;0;51,64%;0,00%;0,00%;0,00%;0,00%;3,93%
pbenoit;personnels EN;602;14;593;5;537;9;9;4;616;0;616;0;0;0;87,82%;2,27%;0,00%;0,00%;0,00%;3,60%
htefaatau;personnels EN;531;0;531;0;406;0;0;0;531;0;531;0;0;0;76,46%;0,00%;0,00%;0,00%;0,00%;3,10%
aletang;personnels EN;523;0;523;0;134;0;0;0;523;0;523;0;0;0;25,62%;0,00%;0,00%;0,00%;0,00%;3,06%
hhatitio;personnels EN;522;0;522;0;189;0;0;0;522;125;397;84;0;0;36,21%;0,00%;23,95%;13,86%;0,00%;3,05%
hchan;personnels EN;467;0;467;0;124;0;0;0;467;0;467;0;0;0;26,55%;0,00%;0,00%;0,00%;0,00%;2,73%
rrocka;personnels EN;446;0;446;0;202;0;0;0;446;0;446;0;0;0;45,29%;0,00%;0,00%;0,00%;0,00%;2,61%
lchanguy;personnels EN;438;0;433;0;175;1;0;0;438;0;438;0;0;4;40,87%;0,00%;0,00%;0,00%;0,00%;2,56%
apendu;personnels EN;283;147;283;136;295;0;11;0;430;64;366;0;0;0;68,60%;34,19%;14,88%;0,00%;0,00%;2,51%
tterret;personnels EN;38;373;38;373;207;0;0;0;411;0;411;0;0;0;50,36%;90,75%;0,00%;0,00%;0,00%;2,40%
caitamai;personnels EN;384;0;380;0;65;4;0;0;384;0;384;0;0;0;16,93%;0,00%;0,00%;0,00%;0,00%;2,24%
kmoeterauri;personnels EN;383;1;368;1;234;15;0;12;384;56;328;70;0;0;64,06%;0,26%;14,58%;15,42%;0,00%;2,24%
vteaha;personnels EN;328;0;328;0;252;0;0;0;328;0;328;0;0;0;76,83%;0,00%;0,00%;0,00%;0,00%;1,92%
mletang1;personnels EN;150;170;149;160;104;1;10;2;320;2;318;0;0;0;33,12%;53,12%;0,62%;0,00%;0,00%;1,87%
ptatarata;personnels EN;229;35;224;34;199;5;1;2;264;0;264;0;0;0;76,14%;13,26%;0,00%;0,00%;0,00%;1,54%
jvonghes1;personnels EN;240;0;240;0;56;0;0;0;240;75;165;48;0;0;23,33%;0,00%;31,25%;16,67%;0,00%;1,40%
jfontaine;personnels EN;67;159;67;159;174;0;0;0;226;0;226;0;0;0;76,99%;70,35%;0,00%;0,00%;0,00%;1,32%
mdoom;personnels EN;211;0;211;0;23;0;0;0;211;0;211;0;0;0;10,90%;0,00%;0,00%;0,00%;0,00%;1,23%
dlabbat;personnels EN;180;0;180;0;151;0;0;0;180;0;180;0;0;0;83,89%;0,00%;0,00%;0,00%;0,00%;1,05%
dheck;personnels EN;169;0;169;0;0;0;0;0;169;169;0;0;0;0;0,00%;0,00%;100,00%;0,00%;0,00%;0,99%
lvan-oenen;personnels EN;153;0;153;0;103;0;0;0;153;4;149;0;0;0;67,32%;0,00%;2,61%;0,00%;0,00%;0,89%
pschrapffer;personnels EN;85;66;85;66;0;0;0;0;151;0;151;0;0;0;0,00%;43,71%;0,00%;0,00%;0,00%;0,88%
hteahu;personnels EN;148;0;148;0;130;0;0;0;148;0;148;0;0;0;87,84%;0,00%;0,00%;0,00%;0,00%;0,87%
hteamotuaitau;personnels EN;147;0;147;0;39;0;0;0;147;0;147;0;0;0;26,53%;0,00%;0,00%;0,00%;0,00%;0,86%
smahea;personnels EN;144;0;144;0;91;0;0;0;144;0;144;0;0;0;63,19%;0,00%;0,00%;0,00%;0,00%;0,84%
smercier;personnels EN;119;0;119;0;93;0;0;0;119;0;119;0;0;0;78,15%;0,00%;0,00%;0,00%;0,00%;0,70%
mrere;personnels EN;117;0;117;0;71;0;0;0;117;0;117;0;0;0;60,68%;0,00%;0,00%;0,00%;0,00%;0,68%
mcasado;personnels EN;101;13;101;12;108;0;1;0;114;80;34;0;0;0;94,74%;11,40%;70,18%;0,00%;0,00%;0,67%
mfrebault;personnels EN;105;0;105;0;37;0;0;0;105;0;105;0;0;0;35,24%;0,00%;0,00%;0,00%;0,00%;0,61%
tdoom1;personnels EN;84;14;84;12;30;0;2;0;98;28;70;38;0;0;30,61%;14,29%;28,57%;27,94%;0,00%;0,57%
mlucas3;personnels EN;97;0;97;0;21;0;0;0;97;0;97;0;0;0;21,65%;0,00%;0,00%;0,00%;0,00%;0,57%
rpoli;personnels EN;91;0;91;0;89;0;0;0;91;44;47;0;0;0;97,80%;0,00%;48,35%;0,00%;0,00%;0,53%
thaturau;personnels EN;72;0;67;0;49;5;0;0;72;0;72;0;0;0;68,06%;0,00%;0,00%;0,00%;0,00%;0,42%
aperry;personnels EN;68;4;68;4;4;0;0;0;72;37;35;34;0;0;5,56%;5,56%;51,39%;32,08%;0,00%;0,42%
ehannequin;personnels EN;59;0;59;0;38;0;0;0;59;0;59;0;0;0;64,41%;0,00%;0,00%;0,00%;0,00%;0,34%
cvictor1;personnels EN;56;0;56;0;10;0;0;0;56;0;56;0;0;0;17,86%;0,00%;0,00%;0,00%;0,00%;0,33%
wreiatua;personnels EN;56;0;54;0;29;2;0;0;56;0;56;0;0;0;51,79%;0,00%;0,00%;0,00%;0,00%;0,33%
mmariani;personnels EN;40;9;40;9;29;0;0;0;49;0;49;0;0;0;59,18%;18,37%;0,00%;0,00%;0,00%;0,29%
mtarahu;personnels EN;46;0;46;0;15;0;0;0;46;0;46;0;0;0;32,61%;0,00%;0,00%;0,00%;0,00%;0,27%
mlimousin;personnels EN;45;0;45;0;32;0;0;0;45;10;35;5;0;0;71,11%;0,00%;22,22%;10,00%;0,00%;0,26%
tchaves;personnels EN;22;6;22;6;14;0;0;0;28;0;28;0;0;0;50,00%;21,43%;0,00%;0,00%;0,00%;0,16%
elee;personnels EN;20;3;20;3;20;0;0;0;23;0;23;0;0;0;86,96%;13,04%;0,00%;0,00%;0,00%;0,13%
tapeang2;personnels EN;18;0;18;0;9;0;0;0;18;0;18;0;0;0;50,00%;0,00%;0,00%;0,00%;0,00%;0,11%
mallain;personnels EN;17;0;17;0;11;0;0;0;17;0;17;9;0;0;64,71%;0,00%;0,00%;34,62%;0,00%;0,10%
aabounaidane;personnels EN;17;0;0;0;0;17;0;12;17;9;8;2;0;0;70,59%;0,00%;52,94%;10,53%;0,00%;0,10%
tamerio;personnels EN;17;0;17;0;0;0;0;0;17;0;17;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%
vmercier;personnels EN;7;9;7;9;13;0;0;0;16;5;11;0;0;0;81,25%;56,25%;31,25%;0,00%;0,00%;0,09%
ohuisman;personnels EN;8;0;3;0;0;5;0;0;8;0;8;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%
mthiam;personnels EN;4;0;4;0;3;0;0;0;4;0;4;0;0;0;75,00%;0,00%;0,00%;0,00%;0,00%;0,02%
kricheton;personnels EN;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%
bwalzl;personnels EN;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0,00%;0,00%;0,00%;100,00%;0,00%;0,00%
rsossey-alaoui;personnels EN;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0,00%;0,00%;0,00%;100,00%;0,00%;0,00%
Total;;16004;1102;15921;1054;6377;79;48;46;17106;1982;15124;371;0;4;37,57%;6,44%;11,59%;2,12%;0,00%;100,00%
